PAW protein_summary_9 results file
written: Mon Feb 13 18:35:51 2023

 	=subtotal(109,B6:B7162)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
342.0	1	sp|B2RQC6|PYR1_MOUSE	 	18.0	2225	243236	CAD protein OS=Mus musculus OX=10090 GN=Cad PE=1 SV=1	55	55	1.000	33	22	33	22	33.000	22.000	 
343.0	1	sp|B2RR83|YTDC2_MOUSE	 	10.0	1445	161090	3'-5' RNA helicase YTHDC2 OS=Mus musculus OX=10090 GN=Ythdc2 PE=1 SV=1	17	17	1.000	7	10	7	10	7.000	10.000	 
344.0	1	sp|B2RRD7|BRPF1_MOUSE	 	2.7	1212	137308	Peregrin OS=Mus musculus OX=10090 GN=Brpf1 PE=1 SV=1	5	5	1.000	3	2	3	2	3.000	2.000	 
345.0	1	sp|B2RRE7|OTUD4_MOUSE	 	6.1	1107	123054	OTU domain-containing protein 4 OS=Mus musculus OX=10090 GN=Otud4 PE=1 SV=1	6	6	1.000	3	3	3	3	3.000	3.000	 
346.0	1	sp|B2RSH2|GNAI1_MOUSE	 	67.2	354	40361	Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Mus musculus OX=10090 GN=Gnai1 PE=1 SV=1	140	46	0.329	65	75	21	25	32.509	39.252	sp|B2RSH2|GNAI1_MOUSE, sp|P08752|GNAI2_MOUSE, sp|P18872|GNAO_MOUSE, sp|P27600|GNA12_MOUSE, sp|P27601|GNA13_MOUSE, sp|Q6R0H7|GNAS1_MOUSE, sp|Q8CGK7|GNAL_MOUSE, sp|Q9DC51|GNAI3_MOUSE
347.0	1	sp|B2RU80|PTPRB_MOUSE	 	0.8	1998	224493	Receptor-type tyrosine-protein phosphatase beta OS=Mus musculus OX=10090 GN=Ptprb PE=1 SV=1	2	1	0.500	2	0	1	0	1.125	0.000	sp|B2RU80|PTPRB_MOUSE, sp|P17225|PTBP1_MOUSE, sp|Q8BHD7|PTBP3_MOUSE
348.0	1	sp|B2RUJ5|APBA1_MOUSE	 	27.3	842	92908	Amyloid-beta A4 precursor protein-binding family A member 1 OS=Mus musculus OX=10090 GN=Apba1 PE=1 SV=2	45	35	0.778	23	22	20	15	22.222	20.000	sp|B2RUJ5|APBA1_MOUSE, sp|P98084|APBA2_MOUSE
349.0	1	sp|B2RUR8|OTU7B_MOUSE	 	11.3	840	91982	OTU domain-containing protein 7B OS=Mus musculus OX=10090 GN=Otud7b PE=1 SV=1	13	8	0.615	7	6	4	4	4.800	4.571	sp|B2RUR8|OTU7B_MOUSE, sp|Q8R554|OTU7A_MOUSE
350.0	1	sp|B2RWS6|EP300_MOUSE	 	5.1	2412	263303	Histone acetyltransferase p300 OS=Mus musculus OX=10090 GN=Ep300 PE=1 SV=2	8	4	0.500	2	6	1	3	1.200	4.500	sp|B2RWS6|EP300_MOUSE, sp|P45481|CBP_MOUSE
351.0	1	sp|B2RX14|TUT4_MOUSE	 	2.3	1644	184648	Terminal uridylyltransferase 4 OS=Mus musculus OX=10090 GN=Tut4 PE=1 SV=2	4	4	1.000	1	3	1	3	1.000	3.000	 
352.0	1	sp|B2RXC1|TPC11_MOUSE	 	17.0	1133	128395	Trafficking protein particle complex subunit 11 OS=Mus musculus OX=10090 GN=Trappc11 PE=1 SV=1	30	30	1.000	15	15	15	15	15.000	15.000	 
353.0	1	sp|B2RXR6|ANR44_MOUSE	 	13.7	993	107384	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B OS=Mus musculus OX=10090 GN=Ankrd44 PE=1 SV=1	12	12	1.000	7	5	7	5	7.000	5.000	 
354.0	1	sp|B2RXS4|PLXB2_MOUSE	 	31.5	1842	206228	Plexin-B2 OS=Mus musculus OX=10090 GN=Plxnb2 PE=1 SV=1	96	94	0.979	48	48	47	47	47.475	47.511	sp|B2RXS4|PLXB2_MOUSE, sp|Q3UH93|PLXD1_MOUSE, sp|Q8CJH3|PLXB1_MOUSE, sp|Q9QZC2|PLXC1_MOUSE
355.0	1	sp|B2RY04|DOCK5_MOUSE	 	1.4	1868	214427	Dedicator of cytokinesis protein 5 OS=Mus musculus OX=10090 GN=Dock5 PE=1 SV=2	4	1	0.250	3	1	1	0	1.091	0.000	sp|B2RY04|DOCK5_MOUSE, sp|Q8BUR4|DOCK1_MOUSE
356.0	1	sp|B2RY56|RBM25_MOUSE	 	31.9	838	99551	RNA-binding protein 25 OS=Mus musculus OX=10090 GN=Rbm25 PE=1 SV=2	49	49	1.000	22	27	22	27	22.000	27.000	 
357.0	1	sp|B7ZMP1|XPP3_MOUSE	 	22.5	506	56677	Xaa-Pro aminopeptidase 3 OS=Mus musculus OX=10090 GN=Xpnpep3 PE=1 SV=1	11	11	1.000	3	8	3	8	3.000	8.000	 
358.0	1	sp|B7ZNG0|KIF7_MOUSE	 	1.6	1348	151622	Kinesin-like protein KIF7 OS=Mus musculus OX=10090 GN=Kif7 PE=1 SV=1	5	1	0.200	2	3	0	1	0.000	1.027	sp|B7ZNG0|KIF7_MOUSE, sp|Q7M6Z4|KIF27_MOUSE, sp|Q9QXL1|KI21B_MOUSE, sp|Q9QXL2|KI21A_MOUSE
359.0	1	sp|B9EHT4|CLIP3_MOUSE	 	19.6	547	59586	CAP-Gly domain-containing linker protein 3 OS=Mus musculus OX=10090 GN=Clip3 PE=1 SV=1	14	14	1.000	9	5	9	5	9.000	5.000	 
360.0	1	sp|B9EJ80|PDZD8_MOUSE	 	5.5	1147	127738	PDZ domain-containing protein 8 OS=Mus musculus OX=10090 GN=Pdzd8 PE=1 SV=1	7	7	1.000	5	2	5	2	5.000	2.000	 
361.0	1	sp|B9EJ86|OSBL8_MOUSE	 	23.4	889	101267	Oxysterol-binding protein-related protein 8 OS=Mus musculus OX=10090 GN=Osbpl8 PE=1 SV=1	36	36	1.000	15	21	15	21	15.000	21.000	 
362.0	1	sp|B9EJA2|CTTB2_MOUSE	 	21.1	1648	178772	Cortactin-binding protein 2 OS=Mus musculus OX=10090 GN=Cttnbp2 PE=1 SV=2	82	82	1.000	46	36	46	36	46.000	36.000	 
363.0	1	sp|B9EKI3|TMF1_MOUSE	 	13.7	1091	121801	TATA element modulatory factor OS=Mus musculus OX=10090 GN=Tmf1 PE=1 SV=2	17	17	1.000	10	7	10	7	10.000	7.000	 
364.0	1	sp|B9EKR1|PTPRZ_MOUSE	 	15.8	2312	254402	Receptor-type tyrosine-protein phosphatase zeta OS=Mus musculus OX=10090 GN=Ptprz1 PE=1 SV=1	136	136	1.000	72	64	72	64	72.000	64.000	 
365.0	1	sp|C0HK79|ARXS1_MOUSE	 	26.1	180	20146	Adipocyte-related X-chromosome expressed sequence 1 OS=Mus musculus OX=10090 GN=Arxes1 PE=1 SV=1	9	9	1.000	4	5	4	5	4.000	5.000	 
365.0001	1	sp|C0HK80|ARXS2_MOUSE	redundant	26.1	180	20146	Adipocyte-related X-chromosome expressed sequence 2 OS=Mus musculus OX=10090 GN=Arxes2 PE=1 SV=1	9	9	1.000	4	5	4	5	4.000	5.000	 
366.0	1	sp|C0HKD8|MFA1A_MOUSE	 	37.1	439	51954	Microfibrillar-associated protein 1A OS=Mus musculus OX=10090 GN=Mfap1a PE=1 SV=1	23	23	1.000	13	10	13	10	13.000	10.000	 
366.0001	1	sp|C0HKD9|MFA1B_MOUSE	redundant	37.1	439	51954	Microfibrillar-associated protein 1B OS=Mus musculus OX=10090 GN=Mfap1b PE=1 SV=1	23	23	1.000	13	10	13	10	13.000	10.000	 
367.0	1	sp|C0HKE1|H2A1B_MOUSE	 	43.1	130	14135	Histone H2A type 1-B OS=Mus musculus OX=10090 GN=H2ac4 PE=1 SV=1	100	0	0.000	33	67	0	0	2.000	0.500	sp|C0HKE1|H2A1B_MOUSE, sp|P0C0S6|H2AZ_MOUSE, sp|P27661|H2AX_MOUSE, sp|Q64522|H2A2B_MOUSE, sp|Q6GSS7|H2A2A_MOUSE, sp|Q8CGP7|H2A1K_MOUSE
367.0001	1	sp|C0HKE2|H2A1C_MOUSE	redundant	43.1	130	14135	Histone H2A type 1-C OS=Mus musculus OX=10090 GN=H2ac6 PE=1 SV=1	100	0	0.000	33	67	0	0	2.000	0.500	sp|C0HKE1|H2A1B_MOUSE, sp|P0C0S6|H2AZ_MOUSE, sp|P27661|H2AX_MOUSE, sp|Q64522|H2A2B_MOUSE, sp|Q6GSS7|H2A2A_MOUSE, sp|Q8CGP7|H2A1K_MOUSE
367.0002	1	sp|C0HKE3|H2A1D_MOUSE	redundant	43.1	130	14135	Histone H2A type 1-D OS=Mus musculus OX=10090 GN=H2ac7 PE=1 SV=1	100	0	0.000	33	67	0	0	2.000	0.500	sp|C0HKE1|H2A1B_MOUSE, sp|P0C0S6|H2AZ_MOUSE, sp|P27661|H2AX_MOUSE, sp|Q64522|H2A2B_MOUSE, sp|Q6GSS7|H2A2A_MOUSE, sp|Q8CGP7|H2A1K_MOUSE
367.0003	1	sp|C0HKE4|H2A1E_MOUSE	redundant	43.1	130	14135	Histone H2A type 1-E OS=Mus musculus OX=10090 GN=H2ac8 PE=1 SV=1	100	0	0.000	33	67	0	0	2.000	0.500	sp|C0HKE1|H2A1B_MOUSE, sp|P0C0S6|H2AZ_MOUSE, sp|P27661|H2AX_MOUSE, sp|Q64522|H2A2B_MOUSE, sp|Q6GSS7|H2A2A_MOUSE, sp|Q8CGP7|H2A1K_MOUSE
367.0004	1	sp|C0HKE5|H2A1G_MOUSE	redundant	43.1	130	14135	Histone H2A type 1-G OS=Mus musculus OX=10090 GN=H2ac11 PE=1 SV=1	100	0	0.000	33	67	0	0	2.000	0.500	sp|C0HKE1|H2A1B_MOUSE, sp|P0C0S6|H2AZ_MOUSE, sp|P27661|H2AX_MOUSE, sp|Q64522|H2A2B_MOUSE, sp|Q6GSS7|H2A2A_MOUSE, sp|Q8CGP7|H2A1K_MOUSE
367.0005	1	sp|C0HKE6|H2A1I_MOUSE	redundant	43.1	130	14135	Histone H2A type 1-I OS=Mus musculus OX=10090 GN=H2ac13 PE=1 SV=1	100	0	0.000	33	67	0	0	2.000	0.500	sp|C0HKE1|H2A1B_MOUSE, sp|P0C0S6|H2AZ_MOUSE, sp|P27661|H2AX_MOUSE, sp|Q64522|H2A2B_MOUSE, sp|Q6GSS7|H2A2A_MOUSE, sp|Q8CGP7|H2A1K_MOUSE
367.0006	1	sp|C0HKE7|H2A1N_MOUSE	redundant	43.1	130	14135	Histone H2A type 1-N OS=Mus musculus OX=10090 GN=Hist1h2an PE=1 SV=1	100	0	0.000	33	67	0	0	2.000	0.500	sp|C0HKE1|H2A1B_MOUSE, sp|P0C0S6|H2AZ_MOUSE, sp|P27661|H2AX_MOUSE, sp|Q64522|H2A2B_MOUSE, sp|Q6GSS7|H2A2A_MOUSE, sp|Q8CGP7|H2A1K_MOUSE
367.0007	1	sp|C0HKE8|H2A1O_MOUSE	redundant	43.1	130	14135	Histone H2A type 1-O OS=Mus musculus OX=10090 GN=Hist1h2ao PE=1 SV=1	100	0	0.000	33	67	0	0	2.000	0.500	sp|C0HKE1|H2A1B_MOUSE, sp|P0C0S6|H2AZ_MOUSE, sp|P27661|H2AX_MOUSE, sp|Q64522|H2A2B_MOUSE, sp|Q6GSS7|H2A2A_MOUSE, sp|Q8CGP7|H2A1K_MOUSE
367.0008	1	sp|C0HKE9|H2A1P_MOUSE	redundant	43.1	130	14135	Histone H2A type 1-P OS=Mus musculus OX=10090 GN=Hist1h2ap PE=1 SV=1	100	0	0.000	33	67	0	0	2.000	0.500	sp|C0HKE1|H2A1B_MOUSE, sp|P0C0S6|H2AZ_MOUSE, sp|P27661|H2AX_MOUSE, sp|Q64522|H2A2B_MOUSE, sp|Q6GSS7|H2A2A_MOUSE, sp|Q8CGP7|H2A1K_MOUSE
367.0009	1	sp|Q8BFU2|H2A3_MOUSE	redundant	43.1	130	14121	Histone H2A type 3 OS=Mus musculus OX=10090 GN=H2ac25 PE=1 SV=3	100	0	0.000	33	67	0	0	2.000	0.500	sp|C0HKE1|H2A1B_MOUSE, sp|P0C0S6|H2AZ_MOUSE, sp|P27661|H2AX_MOUSE, sp|Q64522|H2A2B_MOUSE, sp|Q6GSS7|H2A2A_MOUSE, sp|Q8CGP7|H2A1K_MOUSE
367.001	1	sp|Q8CGP6|H2A1H_MOUSE	redundant	43.8	128	13950	Histone H2A type 1-H OS=Mus musculus OX=10090 GN=H2ac12 PE=1 SV=3	100	0	0.000	33	67	0	0	2.000	0.500	sp|C0HKE1|H2A1B_MOUSE, sp|P0C0S6|H2AZ_MOUSE, sp|P27661|H2AX_MOUSE, sp|Q64522|H2A2B_MOUSE, sp|Q6GSS7|H2A2A_MOUSE, sp|Q8CGP7|H2A1K_MOUSE
368.0	1	sp|D3KU66|ASMT_MOUSE	 	7.8	387	40924	Acetylserotonin O-methyltransferase OS=Mus musculus OX=10090 GN=Asmt PE=1 SV=1	2	2	1.000	0	2	0	2	0.000	2.000	 
369.0	1	sp|D3YUB6|BTBD8_MOUSE	 	10.2	1751	190843	BTB/POZ domain-containing protein 8 OS=Mus musculus OX=10090 GN=Btbd8 PE=1 SV=2	27	27	1.000	15	12	15	12	15.000	12.000	 
370.0	1	sp|D3YVE8|S35G2_MOUSE	 	13.1	412	46395	Solute carrier family 35 member G2 OS=Mus musculus OX=10090 GN=Slc35g2 PE=1 SV=1	8	8	1.000	3	5	3	5	3.000	5.000	 
371.0	1	sp|D3YVF0|AKAP5_MOUSE	 	31.0	745	79396	A-kinase anchor protein 5 OS=Mus musculus OX=10090 GN=Akap5 PE=1 SV=2	16	16	1.000	8	8	8	8	8.000	8.000	 
372.0	1	sp|D3YWQ0|DGKI_MOUSE	 	18.4	1071	118207	Diacylglycerol kinase iota OS=Mus musculus OX=10090 GN=Dgki PE=1 SV=1	39	29	0.744	22	17	17	12	18.574	13.224	sp|D3YWQ0|DGKI_MOUSE, sp|Q80UP3|DGKZ_MOUSE
373.0	1	sp|D3YXJ0|DGKH_MOUSE	 	28.9	1211	134130	Diacylglycerol kinase eta OS=Mus musculus OX=10090 GN=Dgkh PE=1 SV=2	52	44	0.846	26	26	21	23	25.038	25.156	sp|D3YXJ0|DGKH_MOUSE, sp|E9PUQ8|DGKD_MOUSE
374.0	1	sp|D3YXK2|SAFB1_MOUSE	 	36.4	937	105102	Scaffold attachment factor B1 OS=Mus musculus OX=10090 GN=Safb PE=1 SV=2	154	118	0.766	77	77	58	60	74.982	74.862	sp|D3YXK2|SAFB1_MOUSE, sp|Q80YR5|SAFB2_MOUSE, sp|Q9WV02|RBMX_MOUSE
375.0	1	sp|D3YZI9|PGBD5_MOUSE	 	20.3	523	58300	PiggyBac transposable element-derived protein 5 OS=Mus musculus OX=10090 GN=Pgbd5 PE=1 SV=1	14	14	1.000	7	7	7	7	7.000	7.000	 
376.0	1	sp|D3YZP9|CCDC6_MOUSE	 	44.8	469	52938	Coiled-coil domain-containing protein 6 OS=Mus musculus OX=10090 GN=Ccdc6 PE=1 SV=1	48	48	1.000	24	24	24	24	24.000	24.000	 
377.0	1	sp|D3YZU1|SHAN1_MOUSE	 	45.7	2167	226314	SH3 and multiple ankyrin repeat domains protein 1 OS=Mus musculus OX=10090 GN=Shank1 PE=1 SV=1	254	250	0.984	138	116	137	113	137.550	114.485	sp|D3YZU1|SHAN1_MOUSE, sp|Q4ACU6|SHAN3_MOUSE, sp|Q80Z38|SHAN2_MOUSE
378.0	1	sp|D3YZV8|CCDC8_MOUSE	 	11.7	685	73937	Coiled-coil domain-containing protein 8 homolog OS=Mus musculus OX=10090 GN=Ccdc8 PE=1 SV=2	9	9	1.000	5	4	5	4	5.000	4.000	 
379.0	1	sp|D3Z2X2|DNHD1_MOUSE	 	0.6	4749	536430	Dynein heavy chain domain-containing protein 1 OS=Mus musculus OX=10090 GN=Dnhd1 PE=1 SV=3	3	1	0.333	2	1	1	0	1.091	0.000	sp|D3Z2X2|DNHD1_MOUSE, sp|Q8BMZ5|SEN34_MOUSE, sp|Q9DBR0|AKAP8_MOUSE
380.0	1	sp|D3Z6H8|DCAM2_MOUSE	 	6.3	334	38294	S-adenosylmethionine decarboxylase proenzyme 2 OS=Mus musculus OX=10090 GN=Amd2 PE=1 SV=1	2	2	1.000	0	2	0	2	0.000	2.000	 
380.0001	1	sp|P0DMN7|DCAM1_MOUSE	redundant	6.3	334	38272	S-adenosylmethionine decarboxylase proenzyme 1 OS=Mus musculus OX=10090 GN=Amd1 PE=1 SV=1	2	2	1.000	0	2	0	2	0.000	2.000	 
381.0	1	sp|D3Z6Q9|BIN2_MOUSE	 	18.2	489	52553	Bridging integrator 2 OS=Mus musculus OX=10090 GN=Bin2 PE=1 SV=1	27	9	0.333	14	13	3	6	3.188	6.176	sp|D3Z6Q9|BIN2_MOUSE, sp|O08539|BIN1_MOUSE, sp|Q7TQF7|AMPH_MOUSE
382.0	1	sp|D3Z7P3|GLSK_MOUSE	 	58.0	674	73963	Glutaminase kidney isoform, mitochondrial OS=Mus musculus OX=10090 GN=Gls PE=1 SV=1	268	263	0.981	133	135	131	132	132.985	134.977	sp|D3Z7P3|GLSK_MOUSE, sp|Q571F8|GLSL_MOUSE
383.0	1	sp|D3Z7Q2|SIM20_MOUSE	 	31.9	69	7818	Small integral membrane protein 20 OS=Mus musculus OX=10090 GN=Smim20 PE=1 SV=1	4	4	1.000	2	2	2	2	2.000	2.000	 
384.0	1	sp|E1U8D0|SOGA1_MOUSE	 	6.1	1418	159185	Protein SOGA1 OS=Mus musculus OX=10090 GN=Soga1 PE=1 SV=3	6	5	0.833	5	1	4	1	4.098	1.000	sp|E1U8D0|SOGA1_MOUSE, sp|Q3UHU5|MTCL1_MOUSE
385.0	1	sp|E9PUL5|PRRT2_MOUSE	 	51.2	346	35923	Proline-rich transmembrane protein 2 OS=Mus musculus OX=10090 GN=Prrt2 PE=1 SV=1	81	81	1.000	43	38	43	38	43.000	38.000	 
386.0	1	sp|E9PUQ8|DGKD_MOUSE	 	14.0	1220	135207	Diacylglycerol kinase delta OS=Mus musculus OX=10090 GN=Dgkd PE=1 SV=1	22	14	0.636	10	12	5	9	5.962	9.844	sp|D3YXJ0|DGKH_MOUSE, sp|E9PUQ8|DGKD_MOUSE
387.0	1	sp|E9PV24|FIBA_MOUSE	 	28.0	789	87428	Fibrinogen alpha chain OS=Mus musculus OX=10090 GN=Fga PE=1 SV=1	62	62	1.000	27	35	27	35	27.000	35.000	 
388.0	1	sp|E9PV86|MCTP1_MOUSE	 	22.9	951	106794	Multiple C2 and transmembrane domain-containing protein 1 OS=Mus musculus OX=10090 GN=Mctp1 PE=1 SV=1	26	26	1.000	16	10	16	10	16.000	10.000	 
389.0	1	sp|E9PVA8|GCN1_MOUSE	 	24.7	2671	293017	eIF-2-alpha kinase activator GCN1 OS=Mus musculus OX=10090 GN=Gcn1 PE=1 SV=1	104	104	1.000	50	54	50	54	50.000	54.000	 
390.0	1	sp|E9PVB5|TTC17_MOUSE	 	1.3	1198	135519	Tetratricopeptide repeat protein 17 OS=Mus musculus OX=10090 GN=Ttc17 PE=1 SV=1	2	1	0.500	2	0	1	0	1.125	0.000	sp|E9PVB5|TTC17_MOUSE, sp|Q91WE2|PIP30_MOUSE
391.0	1	sp|E9PVD3|PCD16_MOUSE	 	3.6	3291	346379	Protocadherin-16 OS=Mus musculus OX=10090 GN=Dchs1 PE=1 SV=1	13	13	1.000	6	7	6	7	6.000	7.000	 
392.0	1	sp|E9PXF8|MTMRD_MOUSE	 	10.0	1872	210456	Myotubularin-related protein 13 OS=Mus musculus OX=10090 GN=Sbf2 PE=1 SV=1	22	19	0.864	9	13	7	12	7.222	12.160	sp|E9PXF8|MTMRD_MOUSE, sp|Q6ZPE2|MTMR5_MOUSE
393.0	1	sp|E9PY46|IF140_MOUSE	 	2.4	1464	165873	Intraflagellar transport protein 140 homolog OS=Mus musculus OX=10090 GN=Ift140 PE=1 SV=1	4	4	1.000	4	0	4	0	4.000	0.000	 
394.0	1	sp|E9PYH6|SET1A_MOUSE	 	5.6	1716	186057	Histone-lysine N-methyltransferase SETD1A OS=Mus musculus OX=10090 GN=Setd1a PE=1 SV=1	10	10	1.000	7	3	7	3	7.000	3.000	 
395.0	1	sp|E9PYL2|PRR12_MOUSE	 	6.3	2035	211873	Proline-rich protein 12 OS=Mus musculus OX=10090 GN=Prr12 PE=1 SV=1	15	15	1.000	4	11	4	11	4.000	11.000	 
396.0	1	sp|E9PZ19|TUTLB_MOUSE	 	9.3	1328	144950	Protein turtle homolog B OS=Mus musculus OX=10090 GN=Igsf9b PE=1 SV=1	16	16	1.000	8	8	8	8	8.000	8.000	 
397.0	1	sp|E9PZJ8|ASCC3_MOUSE	 	1.8	2198	250554	Activating signal cointegrator 1 complex subunit 3 OS=Mus musculus OX=10090 GN=Ascc3 PE=1 SV=1	3	3	1.000	2	1	2	1	2.000	1.000	 
398.0	1	sp|E9PZM4|CHD2_MOUSE	 	6.5	1827	210801	Chromodomain-helicase-DNA-binding protein 2 OS=Mus musculus OX=10090 GN=Chd2 PE=1 SV=1	13	11	0.846	7	6	7	4	7.000	4.917	sp|A2AJK6|CHD7_MOUSE, sp|A3KFM7|CHD6_MOUSE, sp|E9PZM4|CHD2_MOUSE, sp|P40201|CHD1_MOUSE, sp|Q09XV5|CHD8_MOUSE, sp|Q8BYH8|CHD9_MOUSE
399.0	1	sp|E9PZQ0|RYR1_MOUSE	 	1.7	5035	565033	Ryanodine receptor 1 OS=Mus musculus OX=10090 GN=Ryr1 PE=1 SV=1	9	6	0.667	3	6	2	4	2.027	4.845	sp|A2AGL3|RYR3_MOUSE, sp|E9PZQ0|RYR1_MOUSE, sp|E9Q401|RYR2_MOUSE
400.0	1	sp|E9Q0S6|TENS1_MOUSE	 	21.9	1888	201380	Tensin-1 OS=Mus musculus OX=10090 GN=Tns1 PE=1 SV=1	50	42	0.840	22	28	17	25	19.668	26.974	sp|E9Q0S6|TENS1_MOUSE, sp|Q5SSZ5|TENS3_MOUSE, sp|Q8CGB6|TENS2_MOUSE
401.0	1	sp|E9Q137|TX264_MOUSE	 	23.0	309	33589	Testis-expressed protein 264 homolog OS=Mus musculus OX=10090 GN=Tex264 PE=2 SV=1	8	8	1.000	5	3	5	3	5.000	3.000	 
402.0	1	sp|E9Q1P8|I2BP2_MOUSE	 	25.3	570	59291	Interferon regulatory factor 2-binding protein 2 OS=Mus musculus OX=10090 GN=Irf2bp2 PE=1 SV=1	18	14	0.778	13	5	11	3	11.880	3.400	sp|E9Q1P8|I2BP2_MOUSE, sp|Q8K3X4|I2BPL_MOUSE
403.0	1	sp|E9Q1U1|CC171_MOUSE	 	1.6	1324	152307	Coiled-coil domain-containing protein 171 OS=Mus musculus OX=10090 GN=Ccdc171 PE=2 SV=1	2	2	1.000	2	0	2	0	2.000	0.000	 
404.0	1	sp|E9Q236|MRP4_MOUSE	 	9.1	1325	148886	ATP-binding cassette sub-family C member 4 OS=Mus musculus OX=10090 GN=Abcc4 PE=1 SV=1	13	13	1.000	6	7	6	7	6.000	7.000	 
405.0	1	sp|E9Q3C1|C2CD2_MOUSE	 	4.2	696	76535	C2 domain-containing protein 2 OS=Mus musculus OX=10090 GN=C2cd2 PE=1 SV=1	3	3	1.000	1	2	1	2	1.000	2.000	 
406.0	1	sp|E9Q3L2|PI4KA_MOUSE	 	37.0	2105	237039	Phosphatidylinositol 4-kinase alpha OS=Mus musculus OX=10090 GN=Pi4ka PE=1 SV=2	173	171	0.988	77	96	76	95	77.000	95.979	REV_Q6KCD5, sp|E9Q3L2|PI4KA_MOUSE
407.0	1	sp|E9Q3M5|S4A5_MOUSE	 	2.2	1116	124184	Electrogenic sodium bicarbonate cotransporter 4 OS=Mus musculus OX=10090 GN=Slc4a5 PE=1 SV=1	9	3	0.333	4	5	1	2	1.030	2.061	sp|E9Q3M5|S4A5_MOUSE, sp|O88343|S4A4_MOUSE
408.0	1	sp|E9Q401|RYR2_MOUSE	 	23.8	4966	564813	Ryanodine receptor 2 OS=Mus musculus OX=10090 GN=Ryr2 PE=1 SV=1	170	155	0.912	79	91	71	84	78.973	90.873	sp|A2AGL3|RYR3_MOUSE, sp|E9PZQ0|RYR1_MOUSE, sp|E9Q401|RYR2_MOUSE
409.0	1	sp|E9Q4N7|ARI1B_MOUSE	 	9.1	2306	242879	AT-rich interactive domain-containing protein 1B OS=Mus musculus OX=10090 GN=Arid1b PE=1 SV=2	23	18	0.783	12	11	9	9	10.227	10.059	sp|A2BH40|ARI1A_MOUSE, sp|E9Q4N7|ARI1B_MOUSE
410.0	1	sp|E9Q4P1|WDFY1_MOUSE	 	34.6	410	46217	WD repeat and FYVE domain-containing protein 1 OS=Mus musculus OX=10090 GN=Wdfy1 PE=1 SV=1	34	34	1.000	18	16	18	16	18.000	16.000	 
411.0	1	sp|E9Q4Z2|ACACB_MOUSE	 	3.8	2448	275747	Acetyl-CoA carboxylase 2 OS=Mus musculus OX=10090 GN=Acacb PE=1 SV=1	15	3	0.200	10	5	2	1	2.400	1.082	sp|E9Q4Z2|ACACB_MOUSE, sp|Q5SWU9|ACACA_MOUSE
412.0	1	sp|E9Q5C9|NOLC1_MOUSE	 	23.6	702	73697	Nucleolar and coiled-body phosphoprotein 1 OS=Mus musculus OX=10090 GN=Nolc1 PE=1 SV=1	35	35	1.000	17	18	17	18	17.000	18.000	 
413.0	1	sp|E9Q5F9|SETD2_MOUSE	 	3.1	2537	285660	Histone-lysine N-methyltransferase SETD2 OS=Mus musculus OX=10090 GN=Setd2 PE=1 SV=1	7	7	1.000	4	3	4	3	4.000	3.000	 
414.0	1	sp|E9Q5K9|YTDC1_MOUSE	 	14.4	736	85648	YTH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Ythdc1 PE=1 SV=2	18	18	1.000	10	8	10	8	10.000	8.000	 
415.0	1	sp|E9Q6B2|CC85C_MOUSE	 	21.4	420	45333	Coiled-coil domain-containing protein 85C OS=Mus musculus OX=10090 GN=Ccdc85c PE=1 SV=1	14	14	1.000	6	8	6	8	6.000	8.000	 
416.0	1	sp|E9Q6C8|XKR6_MOUSE	 	8.8	638	70927	XK-related protein 6 OS=Mus musculus OX=10090 GN=Xkr6 PE=2 SV=1	4	4	1.000	2	2	2	2	2.000	2.000	 
417.0	1	sp|E9Q6J5|BD1L1_MOUSE	 	10.2	3032	327449	Biorientation of chromosomes in cell division protein 1-like 1 OS=Mus musculus OX=10090 GN=Bod1l PE=1 SV=1	40	37	0.925	23	17	21	16	22.826	17.000	sp|E9Q6J5|BD1L1_MOUSE, sp|Q5SQY2|BOD1_MOUSE
418.0	1	sp|E9Q6P5|TTC7B_MOUSE	 	31.3	843	94202	Tetratricopeptide repeat protein 7B OS=Mus musculus OX=10090 GN=Ttc7b PE=1 SV=1	67	67	1.000	36	31	36	31	36.000	31.000	 
419.0	1	sp|E9Q735|UBE4A_MOUSE	 	13.6	1028	118197	Ubiquitin conjugation factor E4 A OS=Mus musculus OX=10090 GN=Ube4a PE=1 SV=1	18	18	1.000	8	10	8	10	8.000	10.000	 
420.0	1	sp|E9Q743|CF251_MOUSE	 	1.9	1299	148606	Cilia- and flagella-associated protein 251 OS=Mus musculus OX=10090 GN=Cfap251 PE=1 SV=1	2	2	1.000	2	0	2	0	2.000	0.000	 
421.0	1	sp|E9Q784|ZC3HD_MOUSE	 	4.3	1729	203753	Zinc finger CCCH domain-containing protein 13 OS=Mus musculus OX=10090 GN=Zc3h13 PE=1 SV=1	11	11	1.000	7	4	7	4	7.000	4.000	 
422.0	1	sp|E9Q7E2|ARID2_MOUSE	 	3.9	1828	195986	AT-rich interactive domain-containing protein 2 OS=Mus musculus OX=10090 GN=Arid2 PE=1 SV=1	9	9	1.000	4	5	4	5	4.000	5.000	 
